f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg,f_category_new
"Vegetables/Fresh vegetables;Nuts, seeds and oleaginous fruit",144,14.2,2.9,8.9,1.8,0,0.8,0.8,0.0001,3,1.8,0.0,0,76.4,17,9,0,102,78,0.06,0.16,0.19,0,2,29,0.86,6.7,0,1.85,520,7.0,6,16,33,44,1,1,0.6,n.d.,fruits
Sausages and cold meats/Raw sausage products,322,27.6,10.6,12.9,2.2,49,0.6,0.6,0,0,17.8,2.8,0,50.5,6,6,6,0,0,0.62,0.14,0.22,0.35,4.08,3,0.6,24.3,0.6,0.29,270,1130.0,1690,10,16,150,0.4,1.1,2,11,meat
Sausages and cold meats/Raw sausage products,400,34.3,13.1,15.5,2.3,62,0.6,0.6,0.0001,0,22.1,3.8,0,39,4,4,4,0,0,0.56,0.14,0.3,0.5,6.9,0.0001,1.1,8.3,1.7,0.0001,400,1520.0,2370,0.0001,22,210,0.0001,0.0001,2.3,9.6,meat
"Bread, flakes and breakfast cereals/Bread and bread products",255,0.9,0.2,0.1,0.5,0,51.2,0.5,50.1,2.9,9.0,1.6,0,36.8,0,0,0,0,0,0.12,0.03,0.09,0.01,0.46,8.8,0.26,0,0,0.19,140,660.0,1020,10,22,81,0.9,1,0.7,2.7,cereals
"Various/Salt, spices and flavours",128,0.6,0,0,0,0,25.8,19.1,0,0.5,0.7,0.1,0,70.3,1,0,0,5,5.0,0.02,0.01,1.71,0,0.1,5.5,0.07,0.5,0.3,0,160,27.0,20.0,18,12,24,1,20.0,0.1,20.0,other
Prepared dishes/Asian dishes,130,2.4,0.3,1.3,0.5,44,13.2,1.4,11.3,0.9,13.5,1.0,0,70.1,44,27,11,196,196,0.12,0.08,0.14,0.05,3.6,4.3,0.32,11.6,0.3,0.33,190,400.0,620,9.5,18,120,0.7,1.6,0.7,n.d.,other
Fruit/Dried fruit,273,1.0,0.4,0.1,0.2,0,60.2,43.7,16.5,5.5,3.0,0.0,0,28,17,8,0,100,100,0.1,0.18,0.81,0,2,33.3,0.54,4,0,0.6,1150,8.0,300,20,90,75,1.3,8.1,0.6,n.d.,fruits
Fruit/Dried fruit,370,1.8,0.7,0.2,0.3,0,80.7,65.3,15.4,7.6,3.9,0.0,0,3,60,30,0,363,350,0.18,0.24,0.0001,0,2.8,0.0001,0.0001,7,0,0.0001,1490,3.0,0.0001,22,110,74,1.2,0.0001,0.0001,n.d.,fruits
Fruit/Fresh fruit,89,0.1,0.0001,0.0001,0.0001,0,19.7,15.6,3.8,2.7,1.1,0.0,0,75.8,14,7,0,84,54,0.05,0.03,0.25,0,0.6,25.6,0.23,11.9,0,0.0001,320,0.0001,80,5.1,28,29,0.2,3,0.1,0.5,fruits
"Bread, flakes and breakfast cereals/Flakes, bran and germs",333,1.5,0.3,0.1,0.7,0,66.1,2.2,63.6,10.3,8.5,0.0,0,12.4,0,0,0,0,0,0.2,0.08,0.29,0,3.1,19,0.49,0,0,0.25,160,3.0,20,16,66,190,2,1,1.3,2.8,cereals
"Cereal products, pulses and potatoes/Other cereal products",135,2.1,0.3,1.3,0.3,0,24.7,1.6,21.8,1.7,3.5,0.8,0,68.2,0,0,0,1,1,0.05,0.02,0.06,0,0.81,5.2,0.06,0.4,0,0.43,57,340.0,540,13,23,71,1,0.7,0.7,n.d.,cereals
Vegetables/Herbs,46,0.8,0.1,0,0.4,0,5.1,5,0.1,3.1,3.1,0.0,0,86.4,811,405,0,4865,4820,0.08,0.31,0.18,0,1.1,50,0.2,26,0,1,300,9.0,35,250,11,37,5.5,0.9,0.7,n.d.,herbs
Sweets/Cookies/Biscuits,412,7.9,0.7,4.5,1.8,0,75.0,52,22.6,2.8,7.5,0.0,0.8,7,2,1,0,13,13,0.06,0.15,0.11,0,0.44,11.4,0.18,1.1,0,3.94,180,2.7,28,51,40,98,1,0.4,0.7,1.1,sweets
Vegetables/Dried vegetables,252,2.0,0.4,0.1,1.1,0,25.7,9.5,10.3,25.3,20.2,0.1,0,6,229,114,0,1371,1371,0.45,0.71,1.33,0,4.1,186,2.19,67.6,0,1,2510,21.0,140,540,230,400,7.2,25,2.5,n.d.,vegetables
Vegetables/Fresh vegetables,31,0.2,0.1,0,0.1,0,3.6,2.2,1.4,3.1,2.1,0.0,0,90.3,51,26,0,306,306,0.08,0.1,0.14,0,0.7,70,0.9,16,0,0.24,240,4.0,13,56,28,38,1,3,0.3,n.d.,vegetables
Various/Sauces,147,9.9,6,2.3,0.5,31,10.1,4.8,5.3,0.2,4.2,0.7,0,75.5,98,95,91,41,41,0.03,0.22,0.03,0.15,0.13,2.7,0.33,0.7,0.2,0.24,170,300.0,490,120,12,99,0.1,9.9,0.4,1.3,sauce
