f_ID,f_name,f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg
1648,"Chili con carne, prepared",Prepared dishes/Stews and soups,115,3.6,1.0,1.7,0.7,17.0,8.8,2.1,6.2,3.1,10.4,0.4,0.0,74.3,58.0,30.0,1.0,337.0,337.0,0.11,0.08,0.14,0.25,1.4,27.2,0.29,5.4,0.1,0.88,350.0,150.0,330.0,27.0,30.0,110.0,1.9,2.2,1.9,
437,"Chinese cabbage, raw",Vegetables/Fresh vegetables,16,0.3,0.1,0.0,0.1,0.0,1.2,1.2,0.0001,1.9,1.1,0.0,0.0,94.9,7.0,3.0,0.0,42.0,42.0,0.04,0.04,0.16,0.0,0.4,51.2,0.18,22.1,0.0,0.24,140.0,19.0,18.0,40.0,11.0,30.0,0.6,0.3,0.3,
1007,"Chinese cabbage, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),15,0.3,0.1,0.0,0.1,0.0,1.2,1.2,0.0,1.9,1.0,0.0,0.0,95.6,7.0,3.0,0.0,39.0,39.0,0.03,0.03,0.13,0.0,0.33,32.0,0.16,12.0,0.0,0.25,120.0,17.0,18.0,40.0,9.5,30.0,0.5,0.3,0.3,
374,"Chives, fresh",Vegetables/Herbs,30,0.6,0.1,0.1,0.2,0.0,1.9,1.9,0.0,2.3,3.0,0.0,0.0,91.3,435.0,218.0,0.0,2612.0,2612.0,0.08,0.11,0.13,0.0,0.7,130.0,0.3,60.0,0.0,1.6,280.0,3.0,74.0,86.0,40.0,54.0,1.5,4.2,0.5,
14035,Chocolate meringues,Sweets/Cookies/Biscuits,444,9.9,6.2,3.4,0.3,0.0,83.5,82.4,0.7,2.2,4.2,0.1,0.0,0.7,1.0,1.0,0.0,8.0,8.0,0.03,0.14,0.02,0.07,0.2,4.4,0.12,0.0,0.0,0.0,290.0,46.0,68.0,18.0,41.0,46.0,2.1,2.4,0.7,
14039,Chocolate meringues with chocolate base,Sweets/Cookies/Biscuits,486,19.4,12.1,6.6,0.7,6.0,71.5,70.2,0.7,2.0,5.2,0.3,0.0,1.0,30.0,28.0,27.0,20.0,20.0,0.05,0.26,0.03,0.04,0.29,5.6,0.15,1.3,0.0,0.11,450.0,110.0,96.0,120.0,47.0,130.0,2.1,9.0,1.1,
960,Chocolate powder,Sweets/Chocolate and cocoa products;Non-alcoholic beverages/Cocoa beverages,398,7.8,4.6,2.6,0.2,0.0,71.3,70.6,0.7,10.5,5.3,0.0,0.0,1.7,2.0,1.0,0.0,13.0,13.0,0.04,0.13,0.05,0.0,0.86,12.0,0.35,0.0,0.0,0.22,620.0,5.0,12.0,37.0,130.0,210.0,4.2,0.9,1.8,
889,Chocolate ring cake,Sweets/Cakes and tarts,380,18.4,10.4,4.6,1.2,108.0,46.3,22.9,23.3,1.9,6.4,0.1,0.0,27.5,156.0,151.0,145.0,62.0,62.0,0.05,0.09,0.03,0.28,0.18,9.0,0.46,0.1,0.8,0.56,150.0,36.0,61.0,30.0,20.0,87.0,0.9,8.7,0.6,
807,Chocolate sauce,Sweets/Creams and puddings,122,3.0,1.5,0.9,0.2,110.0,20.0,18.7,1.3,0.5,3.6,0.2,0.0,72.1,28.0,26.0,25.0,15.0,15.0,0.04,0.21,0.05,0.1,0.3,0.0001,0.5,0.0,0.1,0.1,230.0,65.0,150.0,150.0,14.0,100.0,0.9,7.0,0.6,
196,"Chocolate, dark",Sweets/Chocolate and cocoa products,537,31.8,19.7,11.0,1.1,1.0,53.4,50.0,2.3,7.0,5.7,0.0,0.0,0.7,5.0,2.0,0.0,29.0,25.0,0.08,0.15,0.05,0.0,0.6,7.0,0.19,0.0,0.0,0.0,830.0,15.0,100.0,48.0,120.0,140.0,6.7,2.3,2.2,
197,"Chocolate, white",Sweets/Chocolate and cocoa products,567,35.2,21.9,11.7,1.3,16.0,55.8,55.3,,0.2,6.7,0.3,0.0,1.3,9.0,9.0,9.0,0.0,0.0,0.06,0.28,0.06,0.56,0.75,7.0,0.61,2.1,,0.96,330.0,110.0,,260.0,12.0,180.0,0.3,4.9,0.7,
13322,"chop (average of veal, pork, lamb), pan fried (without addition of fat and salt)",Meat and offal,223,12.0,4.6,5.3,1.2,81.0,0.0,0.0,,0.0,28.8,0.1,0.0,59.3,4.0,4.0,4.0,1.0,1.0,0.72,0.21,0.64,0.98,,2.9,1.0,0.0,1.3,0.4,390.0,54.0,94.0,7.0,26.0,230.0,0.6,1.4,2.1,
