ID,name,category,energy_kcal,fat_g,fatty_acids_sat_g,fatty_acids_monounsat_g,fatty_acids_polyunsat_g,cholesterol_mg,carbohydrates_g,sugars_g,starch_g,fibres_g,protein_g,salt_g,alcohol_g,water_g,vit_A_activity_re_µg,vit_A_activity_rae_µg,retinol_µg,beta_carotene_activity_µg,beta_carotene_µg,vit_B1_mg,vit_B2_mg,vit_B6_mg,vit_B12_µg,niacin_mg,folate_µg,panthotenic_acid_mg,vit_c_mg,vit_d_µg,vit_e_activity_mg,potassium_mg,sodium_mg,chloride_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,iodide_µg,zinc_mg,split
300,Durum wheat semolina,cereals,0.8283419613369747,-0.5505180000569672,-0.5101418209344454,-0.5312003569005903,-0.24467396605172093,-0.536757603473416,2.550677012897102,-0.3954318643295363,3.6099074952114094,0.2880471762065573,0.2685054126724047,-0.1596846815117424,-0.12265494824935523,-1.6468862694821012,-0.1795443937312451,-0.1585737546151391,-0.1293856351724256,-0.1574233944771411,-0.15375122965640053,-0.1695241107447719,-0.34095991362398,-0.3733907205671167,-0.2195441781253601,0.07066042793769138,0.2754940253576595,-0.2645683164168729,-0.4260402945073323,-0.3460810447868748,-0.2666376964147271,-0.3770144627151932,-0.1597440034215406,-0.1376907850858395,-0.3676503574728683,-0.0954722010762464,-0.2796601463839339,-0.1917704934980704,-0.06577057500853171,0.5969578194388158,train
301,"Edible boletus, fresh",vegetables,-0.9740202985514124,-0.6080669020114187,-0.5234164327616002,-0.5448715061944789,-0.2924479151448707,-0.536757603473416,-0.7298513226873715,-0.4596273000447157,-0.5397633705184373,0.9393874259984496,-0.4558553776694153,-0.1596846815117424,-0.12265494824935523,1.029270630634399,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1625805195841725,-0.15892787687194243,0.3943733961217061,3.101336739604993,-0.5797696826418158,-0.2195441781253601,4.01971409527535,-0.0043785237383621,3.1012915259910434,-0.3245293568375474,2.0124482828039647,-0.2562275606746134,0.2559771515949771,-0.1581431883536362,-0.150387579959527,-0.451783764814669,-0.3867176395272525,-0.3744858545605344,-0.1525570921311317,-0.07821047693818302,0.13957938225324462,train
302,"Edible boletus, stewed (without addition of fat and salt)",vegetables,-0.9338402481717348,-0.6023120118159735,-0.5234164327616002,-0.5448715061944789,-0.2924479151448707,-0.536757603473416,-0.7252243433706093,-0.4596273000447157,-0.5397633705184373,1.265057550894396,-0.3790292332392223,-0.1596846815117424,-0.12265494824935523,0.983793454553988,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1625805195841725,-0.15892787687194243,0.3492615955723877,3.137193996409461,-0.5797696826418158,-0.2195441781253601,3.9057990856406097,-0.0629768387053417,3.1012915259910434,-0.3352147186975248,2.5450194212922184,-0.2510224928045564,0.1893464553518013,-0.1580097870979775,-0.1492738260232386,-0.4465254268558065,-0.3867176395272525,-0.292303574140814,-0.1525570921311317,-0.07323451616632251,0.20491915899404042,train
303,"Egg liqueur, 16.5 vol%",alcoholic_beverages,0.5987416734531038,-0.1879599177439227,-0.244649584391349,-0.1073947287900453,-0.14912606786542143,1.844516423963757,0.6721234102916065,1.7301503404619567,-0.5397633705184373,-0.5637054581366865,-0.565607012569691,-0.1596846815117424,5.841576451762884,-0.2685780098142565,0.0917529017062277,0.1289671363563416,0.1658616066054869,-0.1581601266352884,-0.15449075068719223,-0.1469682104701128,0.1251844248341099,-0.3321149281521769,-0.07706497425216981,-0.5938437949316258,0.1617958022874006,0.8955791186258555,-0.4100122517173664,1.3277139618904952,-0.1816215878704646,-0.8267716623566304,-0.1583099399232095,-0.1528378386193614,-0.3807962023700247,-0.5342819950090956,-0.5641372709137353,-0.2309838948650091,-0.09894364682093522,-0.513818385154714,train
304,"Egg white, raw",other,-0.9395802553688316,-0.6310864627931992,-0.536691044588755,-0.5448715061944789,-0.3242972145403038,-0.536757603473416,-0.7344783020041338,-0.4382288214729892,-0.5397633705184373,-0.5637054581366865,0.1368034507920739,-0.09300840580827452,-0.12265494824935523,0.9907899431817436,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,-0.2823036121180676,0.9499013313368848,-0.538493890226876,-0.1340566558014459,-0.6001724065780002,-0.1355687811271224,-0.3648279712971086,-0.4260402945073323,-0.3460810447868748,-0.2839879226482501,-0.3770144627151932,-0.0967786107506344,-0.1214299776160293,-0.4458681346109487,-0.4061340020906529,-0.8359709676866568,-0.544691105800519,-0.045866731921089504,-0.8405172688586933,train
305,"Egg yolk, raw",other,0.8053819325485876,1.1701941683811323,0.6314747962008683,1.0956664090721469,0.4719352703455251,17.57535696885175,-0.7391052813208961,-0.4524944738541402,-0.5397633705184373,-0.5637054581366865,0.7514126062336179,-0.1463494263710488,-0.12265494824935523,-0.226599078047723,0.5797467790340097,0.6479874867262482,0.695461346544618,-0.1633172517423198,-0.15966739790273413,0.12370259282579639,1.5594746970128488,0.7410556746362578,0.6664174168679321,-0.6001724065780002,0.8439851407089537,5.722365360717208,-0.4260402945073323,3.914488063119157,0.6199588641182968,-0.476960507079957,-0.1428020439528857,-0.1214299776160293,0.4408191037022475,-0.3867176395272525,2.6283282376984807,1.612045969381111,0.804193233271751,1.6423942472915491,train
306,"Egg, raw",other,-0.3942795716446381,-0.06710722363957461,-0.1915511370827298,-0.03903898232060261,-0.05357816967912192,4.514429727453921,-0.7391052813208961,-0.4453616476635648,-0.5397633705184373,-0.5637054581366865,0.3343563936125702,-0.10634366094896812,-0.12265494824935523,0.5884918470857992,0.008145559087132099,0.0421623390819322,0.077287434072113,-0.1633172517423198,-0.15966739790273413,-0.10185640992079462,0.4837569928787947,-0.3321149281521769,0.11981538019078358,-0.597008100754813,0.3629541969501663,2.714575714310134,-0.4260349518264023,1.7842035091661412,-0.06017000423580371,-0.3770144627151932,-0.1101187363165044,-0.1169749618708758,-0.1638897615669447,-0.3867176395272525,0.352511241460069,0.161150118804378,0.215371208601588,-0.05643994796914269,train
307,"Eggplant piccata, prepared",other,-0.3942795716446381,-0.1476756863758067,-0.2313749725641943,0.029316764148839793,-0.16505071756313802,0.4301839713041028,-0.3134231841787642,-0.2813066452803288,-0.13894288916953143,0.03753169551736759,-0.4448802141793878,-0.1330141712303553,-0.12265494824935523,0.5290216937498768,-0.0993495957088474,-0.0790026904469305,-0.053728529466835505,-0.129427572467542,-0.12564943048631613,-0.2146359112940902,-0.2333881432105745,-0.3733907205671167,-0.1366471867809585,-0.4641072561809495,-0.0778450678760679,0.0505334560638679,-0.3672708042774569,0.03432691127616338,-0.190296700987226,-0.043860981499314,-0.1281279058304288,-0.114747453998299,-0.012712545249646502,-0.3090521892736509,-0.3239121435330142,-0.3094106975988866,-0.03259750319612811,-0.4484786084139179,train
308,"Eggplant slices, breaded, prepared",other,-0.4057595860388316,-0.2973028314573805,-0.4437687617986713,-0.052710131614491104,-0.18097536726085453,0.1415446952511121,-0.0496853631233127,-0.2456425143274513,0.17346130952887998,0.1627894358619626,-0.543656685589636,-0.1330141712303553,-0.12265494824935523,0.4345690972751766,-0.1471252200626162,-0.1278303889137858,-0.1035515015168582,-0.1345846975745734,-0.13082607770185803,-0.1920800110194311,-0.34095991362398,-0.3733907205671167,-0.1755051514736467,-0.4419571154186389,-0.0734720592964426,-0.0354033909763338,-0.3672708042774569,-0.04175467993644392,-0.1972367914806352,-0.043860981499314,-0.1394670125614182,-0.123657485488606,-0.3413586676785556,-0.3090521892736509,-0.5325287015215352,-0.3094106975988866,-0.06079461423667111,-0.5791581618955098,train
309,"Eggplant, raw",vegetables,-1.0658604137049603,-0.619576682402309,-0.536691044588755,-0.5448715061944789,-0.3083725648425872,-0.536757603473416,-0.6095498604515517,-0.2670409928991777,-0.5220801139883384,0.03753169551736759,-0.9387625712306288,-0.1596846815117424,-0.12265494824935523,1.1726986475033885,-0.1693067599411517,-0.1531484547854885,-0.1293856351724256,-0.1272173759930999,-0.12343086739394102,-0.2371918115687493,-0.4485316840373854,-0.3733907205671167,-0.2195441781253601,-0.4229712804795155,-0.0568546266938662,-0.4077963948172097,-0.3245293568375474,-0.3460810447868748,-0.2787828547781932,-0.0105456333777261,-0.1591436977710764,-0.1448188102780851,-0.4136608146129156,-0.3673012769638521,-0.7790755427806965,-0.4270509016997028,-0.10640758797872601,-0.7751774921178973,train
310,"Eggplant, steamed (without addition of salt)",vegetables,-1.0658604137049603,-0.619576682402309,-0.536691044588755,-0.5448715061944789,-0.3083725648425872,-0.536757603473416,-0.6049228811347893,-0.2599081667086023,-0.5220801139883384,0.03753169551736759,-0.9387625712306288,-0.1596846815117424,-0.12265494824935523,1.1901898690727777,-0.1693067599411517,-0.1531484547854885,-0.1293856351724256,-0.1286908403093946,-0.12490990945552441,-0.2597477118434085,-0.4485316840373854,-0.4146665129820565,-0.2195441781253601,-0.4482857270650133,-0.1154529416608458,-0.4364420104972771,-0.3459000805575021,-0.3460810447868748,-0.2787828547781932,-0.0771763296209019,-0.1592437487128205,-0.1445960594908275,-0.4136608146129156,-0.3673012769638521,-0.7790755427806965,-0.4662643030666415,-0.10640758797872601,-0.7751774921178973,train
311,"Eggplant, stewed (without addition of fat and salt)",vegetables,-1.0429003849165734,-0.619576682402309,-0.536691044588755,-0.5448715061944789,-0.3083725648425872,-0.536757603473416,-0.5864149638677402,-0.2313768619463003,-0.5220801139883384,0.1377378877930436,-0.9168122442505736,-0.1596846815117424,-0.12265494824935523,1.1552074259339993,-0.1676004876428029,-0.1513400215089383,-0.1293856351724256,-0.1227969830442158,-0.11899374120919082,-0.2597477118434085,-0.4485316840373854,-0.3733907205671167,-0.2195441781253601,-0.4229712804795155,-0.0979609073423445,-0.393473586977176,-0.3352147186975248,-0.3460810447868748,-0.2770478321548409,-0.0105456333777261,-0.1590436468293324,-0.1425913024055084,-0.4005149697157592,-0.3673012769638521,-0.7537886872669364,-0.4270509016997028,-0.10640758797872601,-0.7098377153771016,train
312,"Elderberry, raw",fruits,-0.8362601258210897,-0.5332533294706318,-0.5234164327616002,-0.5312003569005903,-0.14912606786542143,-0.536757603473416,-0.4105897498307725,0.06106901186729399,-0.5397633705184373,0.4383564646200709,-0.774135118880215,-0.1596846815117424,-0.12265494824935523,0.8683513921960214,-0.0908182342171029,-0.111554489424834,-0.1293856351724256,0.0753839674974197,0.07993741607377482,-0.1695241107447719,-0.3051026568195115,0.3282977504868599,-0.2195441781253601,-0.10654069816079291,-0.0743466610123676,-0.536701665377513,0.5356422728906292,-0.3460810447868748,-0.1104856603130203,0.1227157591086254,-0.1598107040493699,-0.1555108480664535,-0.2361919085013047,-0.0372231133860452,-0.5514938431568553,0.08272331607050058,-0.08318643771004351,-0.7098377153771016,train
313,"Emmentaler cheese, at least 45% fidm",dairy,1.1440423571772973,1.2450077409219191,2.1580551563236714,0.5351492880227164,-0.08542746907455502,0.675527355949145,-0.752986219271183,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,2.068432225036928,-0.10634366094896812,-0.12265494824935523,-0.8457883216040899,0.3391623849668166,0.3694887621375178,0.3872970379389215,-0.049860499387628605,-0.04578115916081301,-0.3048595123927267,0.5196142496832632,-0.2082875509073575,0.2130744954532355,-0.5558721250533791,-0.1408163914226728,-0.3361823556170413,-0.4260349518264023,0.03432691127616338,-0.2232621308309197,-0.5968957603176737,-0.1034486735335694,-0.0969273910176851,6.290720082936826,-0.0178067508226449,3.0076310704048823,-0.3878375003327641,0.057799117492671095,2.1651124612179165,train
314,"Endive, raw",vegetables,-1.106040464084638,-0.619576682402309,-0.5234164327616002,-0.5448715061944789,-0.3083725648425872,-0.536757603473416,-0.6974624674700355,-0.3811662119483854,-0.5397574760995939,-0.2630868813096592,-0.8509612633104081,-0.1463494263710488,-0.12265494824935523,1.225172312211555,-0.0720492389352652,-0.1007038897655328,-0.1293856351724256,0.1247450220932918,0.12948532513681854,-0.2146359112940902,-0.1258163727971692,-0.4972180978119361,-0.2195441781253601,-0.4830930911200729,0.7302869176386949,-0.1356630458565696,0.2631655454612066,-0.3460810447868748,-0.1104856603130203,0.2226618034733892,-0.1458035722052065,-0.1412547976819623,-0.1244522268754756,-0.4255503646540533,-0.5704589847921754,0.004296513336622993,-0.08401576450535361,-0.5791581618955098,test
315,"Energy drink, with sugar",non_alcoholic_beverages,-0.9453202625659284,-0.6310864627931992,-0.536691044588755,-0.5448715061944789,-0.3242972145403038,-0.536757603473416,-0.2486454737440917,0.3035851023468606,-0.5397633705184373,0.0894904618825332,-1.0485142061309043,-0.1330141712303553,-0.12265494824935523,1.01177940906501,-0.1829569383279428,-0.1603821878916893,-0.1293856351724256,-0.1640539839004672,-0.16040691893352582,-0.3274154126673859,0.9857585881413532,5.157565463034817,0.2027123715351852,1.7730569608124196,-0.2230289527196292,1.4541686243871694,-0.4260402945073323,-0.3460810447868748,-0.2839879226482501,-0.8667500801025358,-0.1391335094222715,-0.1361315295750358,-0.4530983493043846,-0.600297627724657,-0.892866392592617,-0.544691105800519,-0.10806624156934622,-0.8405172688586933,train
316,"Escalope (average of beef, veal, pork, poultry), breaded, fried",meat,0.13954109768536146,-0.009558321685123113,-0.3110226435271232,0.3847666457899421,-0.08542746907455502,0.8342789577782899,-0.2856613082781904,-0.4310959952824137,0.02020641960135718,-0.4133961697231728,1.530649214025576,-0.05300264038619381,-0.12265494824935523,-0.1391429702007785,-0.1539503092560118,-0.129638822190336,-0.0980156157335223,-0.1625805195841725,-0.15892787687194243,0.6876000996922749,0.1251844248341099,1.0712620139557765,0.057642636682482394,1.4376405435545736,-0.0594784318416414,0.8096422715856536,-0.4260402945073323,0.11040850248877108,0.1931432987736316,0.289292499716565,-0.0467531398786222,-0.0456947099484198,-0.3610774350242902,-0.1537212887664477,0.4157283802444694,0.004296513336622993,-0.05498932666950051,0.7276373729204073,train
317,"Escalope (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)",meat,-0.3655795356591542,-0.4526848667343996,-0.3906703144900521,-0.3534754160800392,-0.2605986157494375,0.5889355731332478,-0.7483592399544207,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,2.156233532957148,-0.1330141712303553,-0.12265494824935523,0.2981375690339436,-0.1744255768361984,-0.1513400215089383,-0.1220044541279778,-0.1618437874260251,-0.15818835584115074,0.6424882991429566,0.1968989384430468,0.9887104291258966,0.05246157472345729,1.8616575238616613,-0.1583084257411742,0.5375089226250135,-0.4260402945073323,-0.04175467993644392,-0.1989718141039875,0.322607847838153,-0.1374659937265377,-0.132567516978913,-0.4136608146129156,-0.0954722010762464,0.5421626578132701,0.04350991470356169,-0.09313835925376461,1.1196760333651827,train
318,"Escalope (average of beef, veal, pork, poultry), raw",meat,-0.5492597659662509,-0.4757044275161802,-0.4172195381443617,-0.3808177146678163,-0.2605986157494375,0.2858643332776075,-0.7483592399544207,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,1.3879720886552176,-0.1463494263710488,-0.12265494824935523,0.557007648260899,-0.1761318491345473,-0.1531484547854885,-0.1220044541279778,-0.1618437874260251,-0.15818835584115074,0.6876000996922749,0.0534699112251729,1.153813598785656,0.036918388846381996,1.5926915288907475,-0.1609322308889494,0.379958036384643,-0.4260402945073323,-0.11783627114905171,-0.2111169724674536,0.2559771515949771,-0.1408010251180052,-0.1392500405966432,-0.430093120734361,-0.1925540138932485,0.2892941026756688,-0.11334369076419282,-0.09728499323031502,0.6622975961796114,test
319,"Espresso with coffee cream, no sugar added",non_alcoholic_beverages,-1.037160377719477,-0.4872142079070705,-0.3375718671814328,-0.4628446104311476,-0.3083725648425872,-0.4213018930522196,-0.7159703847370846,-0.4168303429012628,-0.5397633705184373,-0.5386539100677675,-0.9936383886807666,-0.1596846815117424,-0.12265494824935523,1.291638954175233,-0.1403001308692207,-0.1169797892544846,-0.0869438441668506,-0.1544764658445517,-0.15079314553323372,-0.3274154126673859,-0.4843889408418539,-0.7035970598866352,-0.1988199302892597,-0.5716936541693153,-0.2186559441400039,-0.6656069359378162,-0.4153549326473549,-0.2699994535742671,-0.2735777869081363,-0.7268256179918665,-0.1554751632404622,-0.1541743433429074,-0.3282128227813993,-0.5401069037781158,-0.8043623982944565,-0.544691105800519,-0.09230903245845451,-0.8405172688586933,train
320,"Eurasian perch, raw",other,-0.7444200106675413,-0.5908022314250833,-0.5234164327616002,-0.5312003569005903,-0.276523265447154,0.4734798627120514,-0.752986219271183,-0.4667601262352912,-0.5397633705184373,-0.5637054581366865,0.9270152220740594,-0.1330141712303553,-0.12265494824935523,0.7424145968964216,-0.1710130322395006,-0.1477231549558379,-0.1164685683446419,-0.1640539839004672,-0.16040691893352582,-0.1695241107447719,-0.197530886406106,-0.2082875509073575,0.039508919825894495,0.3048190588535464,-0.1792988669233758,-0.4937332418574118,-0.3191866759075588,-0.04175467993644392,-0.2492874701812041,-0.6102218995663088,-0.1294619183870158,-0.1437050563417967,0.0464437567875567,-0.0372231133860452,1.4272026007948744,-0.1917704934980704,-0.07489316975694262,-0.12177972470993839,train
321,Ewe's milk,dairy,-0.5951798235430251,-0.2224892589165936,0.007568040324592108,-0.3124619681983736,-0.24467396605172093,-0.1470945808018784,-0.5355181913833548,-0.1315172952782436,-0.5397633705184373,-0.5637054581366865,-0.4448802141793878,-0.1463494263710488,-0.12265494824935523,0.7913900172907102,0.003026742192085499,0.0349286059757315,0.0699062530276652,-0.1603703231097305,-0.15670931377956732,-0.1469682104701128,0.878186817727948,-0.5797696826418158,-0.10556081502680792,-0.470435867827324,-0.1355687811271224,-0.2502455085768392,-0.2016476954478079,-0.2699994535742671,-0.2406123570644427,-0.476960507079957,-0.1448030627877662,-0.0472878226878836,0.7037360016453746,-0.2702194641468501,-0.02679159124633271,-0.544691105800519,-0.025133562038337307,-0.513818385154714,train
322,Falafel (deep fried in HOLL rapeseed oil),other,0.07640101851729698,-0.1822050275484776,-0.4437687617986713,0.1386859584999482,-0.03765351998140532,-0.536757603473416,0.4639093410373028,-0.3027051238520551,0.8690027330460991,1.0395936182741254,-0.1266004729685878,-0.06633789552688742,-0.12265494824935523,-0.2790727427558898,-0.1471252200626162,-0.1422978551261873,-0.1293856351724256,-0.0726991962901963,-0.06870631111535551,-0.05674460937147631,-0.412674427232917,-0.2908391357372371,-0.2195441781253601,-0.4894217027664473,0.0839562495700694,-0.4650876261773445,-0.1695916098678759,-0.3460810447868748,0.1497677331898242,0.0560850628654494,-0.0600932654444921,-0.0501497256935733,-0.1901814513612574,0.1763568748113589,-0.09000873003073301,0.08272331607050058,-0.10060230041155542,-0.3177990549323262,train
323,Farmers' bread,cereals,0.18546115526213566,-0.5159886588842963,-0.4437687617986713,-0.4901869090189247,-0.22874931635400433,-0.4790297482628178,1.2967656180545173,-0.2955722976614796,1.9182092871652936,0.5385626568957468,-0.03879916504836709,0.08034991102074159,-0.12265494824935523,-0.6428901513991789,-0.1641879430461051,-0.1422978551261873,-0.110932682561306,-0.1603703231097305,-0.15670931377956732,0.12370259282579639,-0.0899591159927006,-0.2495633433222973,-0.2117725851868224,-0.2679202951433415,-0.0043785237383621,-0.1929542772167044,-0.4153549326473549,-0.3460810447868748,-0.2267321760776243,-0.2104377221072536,0.0766430216056745,0.0857282545336079,-0.1770356064641011,0.1181077871211575,0.1628598251068681,0.04350991470356169,-0.09728499323031502,0.07423960551244861,train
